Isidro Laso-Ballesteros,European Commission – DG Information Society and Media Belgium
Schahram Dustdar,Vienna University of Technology Austria
Michael W. Sobolewski,Texas Tech University USA
Michele Angelaccio,Università di Roma Tor Vergata Italy
Juan Quemada,Universidad Politecnica de Madrid Spain
Ling Liu,Georgia Institute of Technology USA
Carl Gutwin,University of Saskatchewan Canada
Sören Auer,Universität Leipzig Germany
Hans Vangheluwe,McGill University Canada
Ramana Reddy,West Virginia University USA
Lennart Karlsson,Luleå University of Technology Sweden
Robert O. Briggs,University of Nebraska USA
Leonid Stoimenov,University of Nis Serbia
Dr. Andrea D'Ambrogio,Department of Computer Science Faculty of Engineering University of Roma Italy
