Arjan Durresi,Indiana University Purdue University in Indianapolis USA
Amoakoh Gyasi-Agyei,Auckland University of Technology New Zealand
Felix Hartanto,The Chinese University of Hong Kong Hong Kong
Aruna Jayasuriya,University of South Australia Australia
Yeo Chai Kiat,Nanyang Technological University Singapore
Dirk Kutscher,NEC Laboratories Europe Germany
Kun-chan Lan,National Cheng Kung University Taiwan
Christos Politis,Kingston University London UK
Matthew Roughan,University of Adelaide Australia
Jahangir Sarker,University of Ottawa Canada
Aaron Striegel,University of Notre Dame USA
Damla Turgut,University of Central Florida USA
Stefano Chessa,University of Pisa Italy
Dr. Mahbub Hassan,School of Computer Science and Engineering University of New South Wales Australia
Dr. Raj Jain,School of Computer Science and Engineering Washington University USA
