ZhiMing Cai,Macau University of Science and Technology Macau
Christer Carlsson,Åbo Akademi University Finland
Kuo-Ming Chao,Leader – Distributed Systems and Modelling Research Group UK
Shing-Chi Cheung,Hong Kong University of Science and Technology Hong Kong
William Cheung,Hong Kong Baptist University Hong Kong
Isabelle Comyn-Wattiau,ESSEC Business School Paris France
Wai-Wa Fung,Information Security and Forensics Society Hong Kong
Hua Hu,Hangzhou Dianzi University China
Wendy W. Y. Hui,University of Nottingham at Ningbo China
Patrick C.K. Hung,University of Ontario Institute of Technology Canada
Marijn Janssen,Delft University of Technology The Netherlands
Eleanna Kafeza,Athens University of Economics and Business Greece
Irene Kafeza,Irene Law Office Greece
P. Radha Krishna,SET Labs Infosys Technologies Limited India
Ibrahim Kushchu,Mobile Government Consortium International UK
Raymond Y.K Lau,City University of Hong Kong Hong Kong
Ho-fung Leung,Chinese University of Hong Kong Hong Kong
Fu-ren Lin,National Tsing Hua University Taiwan
Chengfei Liu,Swinburne University of Technology Australia
Zakaria Maamar,Zayed University UAE
Nicholas C Romano,Oklahoma State University USA
Hideyasu Sasaki,Ritsumeikan University Kyoto Japan
Yuqing Sun,Shangdong University China
Juan Trujillo,University of Alicante Spain
Pasi Tyrväinen,University of Jyväskylä Finland
Pirkko Walden,Abo Akademi University Finland
Maggie M. Wang,The University of Hong Kong Hong Kong
Stephen J. H. Yang,National Central University Taiwan
Jian Yang,Macquarie University Australia
Yi Zhuang,Zhejian Gongshang University China
Dr. Dickson K. W. Chiu
