Stefano Basagni,Northeastern University USA
Weifa Liang,The Australian National University Australia
Alex Kesselman,Google Inc. USA
Andrzej Pelc,Université du Québec Canada
Peng-Jun Wan,Illinois Institute of Technology USA
Peter Widmayer,ETH Switzerland
Stefan Funke,Universität Greifswald Germany
Alessandro Panconesi,Sapienza University of Rome Italy
Leen Stougie,VU University Amsterdam Netherlands
Shmuel Zaks,Technion Haifa Israel
Alon Efrat,University of Arizona USA
Jack Snoeyink,University of North Carolina at Chapel Hill USA
Andrei Broder,Yahoo Inc. USA
Gerhard Woeginger,Eindhoven University of Technology Netherlands
Pierre Fraigniaud,CNRS and Université Paris Diderot France
Michael Juenger,Universität Köln Germany
Dr. Michael Segal,Communication Systems Engineering Department Ben-Gurion University of The Negev Israel
Dr. Alberto Marchetti Spaccamela,Department of Computer and Systems Sciences Sapienza University of Rome Italy
