R. Clark, Georgia Institute of Technology US
N. Crespi, Sud Paris Telecom Institute France
S. Fallis, BT UK
J. Heuer, Deutsche Telekom Germany
R. Glitho, Concordia University Canada
J. Barria, Imperial College London UK
J. Zuidweg, Pompeu Fabra University Spain
S. Olafsson, Reykjavik University Iceland
K. Moessner, University of Surrey UK
T. Melia, Alcatel Lucent Bell Labs France
G. Christensen, MindCommerce, US
A. Jaokar, futuretext, UK
R. Minerva, Telecom Italia, Italy
A. Gavras, Eurescom, Germany
V. Varma, Telcordia, US
U. Naoki, NTT, Japan
Dr. Raffaele Giaffreda,Open Systems for Communities (OSCO) CREATE-NET Italy
Dr. James Irvine,Mobile Communications Group University of Strathclyde Scotland
Dr. Thomas Magedanz,Technische Universität Berlin Germany
