Rui Aguiar,University of Aveiro Portugal
Prosper Chemouil,Orange Labs France Télécom France
Frank H.P. Fitzek,University of Aalborg Denmark
Djamal Zeghlache,TELECOM SudParis France
Roch Glitho,Concordia University Canada
Marcos Katz,VTT Technical Research Centre of Finland Finland
Pekka Nikander,Helsinki Institute for Information Technology Finland
Börje Ohlman,Ericsson Research Sweden
Anand R. Prasad,NEC Corporation Japan
Peter Schoo,Fraunhofer SIT München Germany
Theodore Zahariadis,TEI of Chalkida Greece
Dr. Kostas Pentikousis,Senior Research Scientist VTT Finland
