Adam Wierzbicki,Polish-Japanese Institute of Information Technology Poland
Aris Anagnostopoulos,Sapienza University of Rome Italy
Athanasios V. Vasilakos,University of Western Macedonia Greece
Athena Vakali,Aristotle University of Thessaloniki Greece
Bill Grosky,University of Michigan USA
Bingjun Sun,Ebay Inc. USA
David Zeng,University of Arizona USA
Elena Ferrari,University of Insubria Italy
Ghassan Qadah,American University of Sharjah UAE
Jie Tang,Tsinghua University China
Jiming Liu,Hong Kong Baptist University Hong Kong
Katarzyna Wegrzyn-Wolska,ESIGETEL France
Malek Mouhoub,University of Regina Canada
Mehmet Kaya,Firat University Turkey
Mohammad Mahdian,Yahoo Research USA
Nader Mohamed,UAE University UAE
Osmar R. Zaiane,University of Alberta Canada
Ronald Yager,Iona College USA
Tanzel Ozyer,TOBB Economics and Technology University Turkey
Xiaowei Xu,University of Arkansas at Little Rock USA
Dr. Ajith Abraham,Machine Intelligence Research Labs (MIR Labs)
Dr. Václav Snášel,VSB-Technical University of Ostrava Czech Republic
