Anupam Joshi,University of Maryland Baltimore County
Wenjing Lou,Worcester Polytechnic University
Sethuraman (Panch) Panchanathan,Arizona State University
Wenye Wang,North Carolina State University (NCSU)
Salil Kanhere,University of New South Wales Sydney
Antonio Krüger,Saarland University Germany
Mohan Kumar,University of Texas at Arlington
Yunhao Liu,The Hong Kong University of Science and Technology
Diane Cook,Washington State University
Dr. Surendar Chandra,University of Notre Dame
Dr. Krishna M. Sivalingam,Department of CSE Indian Institute of Technology Madras Chennai India
